,Fold selected features,Fold nb of features
Fold 10,"['B_cells_stromal_cellfrequency', 'CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'CD8_T_cells_HLA-DR+_stromal_cellfrequency', 'CD8_T_cells_CD80_CD86+_glandfront_cellfrequency', 'Stroma_vascular_endothelium_glandfront_cellfrequency', 'Neutrophils_glandfront_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'NK_cells_CD56brCD16-CD9hi_stromal_GranzymeB', 'Macrophages_M1-like_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Dendritic_Cells_CD86CD33dp_stromal_GranzymeB', 'aSMA-br_fibroblast_glandfront_GranzymeB', 'aSMA-br_fibroblast_stromal_GranzymeB', 'aSMA-br_vascular_endothelium_glandfront_GranzymeB', 'aSMA-br_vascular_endothelium_stromal_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Macrophages_M2-like_stromal_area', 'aSMA-br_fibroblast_stromal_area', 'aSMA-br_mesenchymal_stromal_area']",23
Fold 11,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'CD4_T_cells_CD11b+_glandfront_cellfrequency', 'Dendritic_Cells_CD209CD33dp_stromal_cellfrequency', 'aSMA-br_vascular_endothelium_stromal_cellfrequency', 'CD4_T_cells_CD80_CD86+_glandfront_Ki67', 'CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'Stroma_mesenchymal_glandfront_GranzymeB', 'Stroma_mesenchymal_stromal_GranzymeB', 'Stroma_fibroblast_stromal_GranzymeB', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB', 'Dendritic_Cells_CD209CD86dp_stromal_GranzymeB', 'Dendritic_Cells_CD86CD33dp_stromal_GranzymeB', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Stroma_mesenchymal_stromal_area', 'Macrophages_M1-like_glandfront_area', 'Macrophages_M2-like_stromal_area', 'Macrophages_M1_M2_stromal_area', 'aSMA-br_mesenchymal_stromal_area', 'aSMA-br_vascular_endothelium_stromal_area', 'CD4_T_cells_FoxP3+_stromal_eccentricity', 'Dendritic_Cells_CD209CD86dp_glandfront_eccentricity', 'aSMA-br_vascular_endothelium_glandfront_celldistance', 'Gland_glandular_epithelium_glandfront_celldistance', 'NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium']",26
Fold 12,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'Neutrophils_glandfront_cellfrequency', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M1-like_stromal_GranzymeB', 'CD4_T_cells_CD80_CD86+_stromal_area', 'aSMA-br_fibroblast_stromal_area', 'aSMA-br_mesenchymal_stromal_area', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium']",8
Fold 13,"['aSMA-br_vascular_endothelium_stromal_cellfrequency', 'CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB', 'Dendritic_Cells_CD209CD86dp_stromal_GranzymeB', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_glandular_epithelium_intragland_Ki67', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Macrophages_M1-like_stromal_area', 'aSMA-br_mesenchymal_stromal_area']",12
Fold 14,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'CD8_T_cells_HLA-DR+_stromal_cellfrequency', 'Neutrophils_glandfront_cellfrequency', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'aSMA-br_vascular_endothelium_glandfront_GranzymeB', 'Gland_mesenchymal_stromal_GranzymeB', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Stroma_mesenchymal_glandfront_area', 'Stroma_mesenchymal_stromal_area', 'aSMA-br_mesenchymal_stromal_area', 'Gland_mesenchymal_stromal_area']",11
Fold 15,"['CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'aSMA-br_fibroblast_glandfront_GranzymeB', 'aSMA-br_mesenchymal_stromal_GranzymeB', 'aSMA-br_vascular_endothelium_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67', 'CD4_T_cells_CD80_CD86+_stromal_area', 'aSMA-br_mesenchymal_stromal_area']",11
Fold 16,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'CD8_T_cells_CD80_CD86+_glandfront_cellfrequency', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'aSMA-br_vascular_endothelium_glandfront_GranzymeB', 'Gland_glandular_epithelium_intragland_Ki67', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Macrophages_M1-like_stromal_area', 'Macrophages_M2-like_stromal_area', 'aSMA-br_fibroblast_stromal_area', 'aSMA-br_mesenchymal_stromal_area', 'Macrophages_MDSC_glandfront_celldistance']",12
Fold 17,"['CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Dendritic_Cells_CD209CD86dp_stromal_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Macrophages_M1-like_stromal_area', 'aSMA-br_fibroblast_stromal_area', 'aSMA-br_mesenchymal_stromal_area', 'aSMA-br_vascular_endothelium_stromal_area', 'Gland_glandular_epithelium_glandfront_area', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity']",11
Fold 18,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'CD8_T_cells_CD80_CD86+_glandfront_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67', 'CD4_T_cells_CD80_CD86+_stromal_area', 'CD4_T_cells_FoxP3+_glandfront_celldistance', 'Neutrophils_glandfront_aggregatedNeighbors.Gland.mesenchymal', 'Gland_glandular_epithelium_glandfront_aggregatedNeighbors.Gland.glandular.epithelium']",11
Fold 19,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'Stroma_vascular_endothelium_glandfront_cellfrequency', 'NK_cells_CD56brCD16-TIM3hi_glandfront_cellfrequency', 'Dendritic_Cells_CD209CD86dp_glandfront_cellfrequency', 'aSMA-br_vascular_endothelium_stromal_cellfrequency', 'Macrophages_M2-like_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Macrophages_M1-like_glandfront_area', 'Macrophages_M1-like_stromal_area', 'aSMA-br_mesenchymal_stromal_area', 'aSMA-br_vascular_endothelium_stromal_area', 'CD4_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'NK_cells_CD56brCD16-CD9hi_glandfront_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi', 'Macrophages_M1_M2_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium']",20
Fold 20,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67', 'CD4_T_cells_CD80_CD86+_stromal_area', 'CD8_T_cells_CD80_CD86+_stromal_area', 'Stroma_mesenchymal_glandfront_area', 'Stroma_mesenchymal_stromal_area', 'Stroma_vascular_endothelium_stromal_area', 'Stroma_fibroblast_glandfront_area', 'Stroma_fibroblast_stromal_area', 'NK_cells_CD56dimCD16+CD9hi_stromal_area', 'Macrophages_M1-like_glandfront_area', 'Macrophages_M1-like_stromal_area', 'Macrophages_M2-like_stromal_area', 'Macrophages_M1_M2_glandfront_area', 'Macrophages_M1_M2_stromal_area', 'Macrophages_MDSC_stromal_area', 'Neutrophils_glandfront_area', 'aSMA-br_fibroblast_glandfront_area', 'aSMA-br_fibroblast_stromal_area', 'aSMA-br_mesenchymal_glandfront_area', 'aSMA-br_mesenchymal_stromal_area', 'aSMA-br_vascular_endothelium_glandfront_area', 'aSMA-br_vascular_endothelium_stromal_area', 'Gland_glandular_epithelium_glandfront_area', 'Gland_mesenchymal_intragland_area', 'Gland_mesenchymal_stromal_area', 'Gland_fibroblast_intragland_area', 'CD4_T_cells_FoxP3+_stromal_eccentricity', 'CD8_T_cells_CD11b+_stromal_eccentricity', 'Dendritic_Cells_CD209CD86dp_glandfront_eccentricity', 'CD4_T_cells_HLA-DR+_glandfront_celldistance', 'Dendritic_Cells_CD209CD86dp_glandfront_celldistance']",33
Fold 21,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'Neutrophils_glandfront_cellfrequency', 'aSMA-br_vascular_endothelium_stromal_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency', 'CD4_T_cells_CD80_CD86+_glandfront_GranzymeB', 'CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'Stroma_mesenchymal_stromal_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M1-like_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_PR', 'Macrophages_M1_M2_stromal_GranzymeB', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Dendritic_Cells_CD209CD86dp_stromal_GranzymeB', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'Dendritic_Cells_CD209CD33dp_stromal_GranzymeB', 'Dendritic_Cells_CD86CD33dp_stromal_GranzymeB', 'aSMA-br_fibroblast_glandfront_GranzymeB', 'aSMA-br_fibroblast_stromal_GranzymeB', 'aSMA-br_mesenchymal_stromal_GranzymeB', 'aSMA-br_vascular_endothelium_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Stroma_mesenchymal_stromal_area', 'Macrophages_M1-like_stromal_area', 'Macrophages_M1_M2_glandfront_area', 'Macrophages_M1_M2_stromal_area', 'aSMA-br_fibroblast_stromal_area', 'aSMA-br_mesenchymal_stromal_area', 'aSMA-br_vascular_endothelium_stromal_area', 'Gland_glandular_epithelium_glandfront_area', 'aSMA-br_vascular_endothelium_glandfront_celldistance', 'NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi', 'NKT_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Gland_glandular_epithelium_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium']",36
Fold 22,"['CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'Stroma_mesenchymal_glandfront_GranzymeB', 'Stroma_fibroblast_stromal_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M1-like_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB', 'Dendritic_Cells_CD209CD86dp_glandfront_HLA-DR', 'Dendritic_Cells_CD209CD86dp_stromal_Ki67', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_glandular_epithelium_intragland_Ki67', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Stroma_mesenchymal_stromal_area', 'Macrophages_M1-like_stromal_area', 'Macrophages_M1_M2_stromal_area', 'aSMA-br_mesenchymal_stromal_area', 'aSMA-br_vascular_endothelium_stromal_area', 'Gland_glandular_epithelium_glandfront_area']",20
Fold 23,"['NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'aSMA-br_fibroblast_glandfront_GranzymeB', 'aSMA-br_vascular_endothelium_glandfront_GranzymeB', 'aSMA-br_vascular_endothelium_stromal_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_glandular_epithelium_intragland_Ki67', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Macrophages_M1-like_stromal_area', 'aSMA-br_mesenchymal_stromal_area', 'CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.aSMA.br.fibroblast', 'Gland_glandular_epithelium_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium']",15
